item_class,quality,min_ilvl,max_ilvl,result_item_id,chance,min_count,max_count
4,2,5,15,10940,0.80,1,2
4,2,5,15,10938,0.20,1,2
4,2,16,20,10940,0.75,2,3
4,2,16,20,10939,0.20,1,2
4,2,16,20,10978,0.05,1,1
4,2,21,25,10940,0.75,4,6
4,2,21,25,10998,0.15,1,2
4,2,21,25,10978,0.10,1,1
4,2,26,30,11083,0.75,1,2
4,2,26,30,11082,0.20,1,2
4,2,26,30,11084,0.05,1,1
4,2,31,35,11083,0.75,2,5
4,2,31,35,11134,0.20,1,2
4,2,31,35,11138,0.05,1,1
4,2,36,40,11137,0.75,1,2
4,2,36,40,11135,0.20,1,2
4,2,36,40,11139,0.05,1,1
4,2,41,45,11137,0.75,2,5
4,2,41,45,11174,0.20,1,2
4,2,41,45,11177,0.05,1,1
4,2,46,50,11176,0.75,1,2
4,2,46,50,11175,0.20,1,2
4,2,46,50,11178,0.05,1,1
4,2,51,55,11176,0.75,2,5
4,2,51,55,16202,0.20,1,2
4,2,51,55,14343,0.05,1,1
4,2,56,60,16204,0.75,1,2
4,2,56,60,16203,0.20,1,2
4,2,56,60,14344,0.05,1,1
4,2,61,65,16204,0.75,2,5
4,2,61,65,16203,0.20,2,3
4,2,61,65,14344,0.05,1,1
2,2,6,15,10940,0.20,1,2
2,2,6,15,10938,0.80,1,2
2,2,16,20,10940,0.20,2,3
2,2,16,20,10939,0.75,1,2
2,2,16,20,10978,0.05,1,1
2,2,21,25,10940,0.15,4,6
2,2,21,25,10998,0.75,1,2
2,2,21,25,10978,0.10,1,1
2,2,26,30,11083,0.20,1,2
2,2,26,30,11082,0.75,1,2
2,2,26,30,11084,0.05,1,1
2,2,31,35,11083,0.20,2,5
2,2,31,35,11134,0.75,1,2
2,2,31,35,11138,0.05,1,1
2,2,36,40,11137,0.20,1,2
2,2,36,40,11135,0.75,1,2
2,2,36,40,11139,0.05,1,1
2,2,41,45,11137,0.20,2,5
2,2,41,45,11174,0.75,1,2
2,2,41,45,11177,0.05,1,1
2,2,46,50,11176,0.20,1,2
2,2,46,50,11175,0.75,1,2
2,2,46,50,11178,0.05,1,1
2,2,51,55,11176,0.20,2,5
2,2,51,55,16202,0.75,1,2
2,2,51,55,14343,0.05,1,1
2,2,56,60,16204,0.20,1,2
2,2,56,60,16203,0.75,1,2
2,2,56,60,14344,0.05,1,1
2,2,61,65,16204,0.20,2,5
2,2,61,65,16203,0.75,2,3
2,2,61,65,14344,0.05,1,1
4,3,11,25,10978,1.0,1,1
4,3,26,30,11084,1.0,1,1
4,3,31,35,11138,1.0,1,1
4,3,36,40,11139,1.0,1,1
4,3,41,45,11177,1.0,1,1
4,3,46,50,11178,1.0,1,1
4,3,51,55,14343,1.0,1,1
4,3,56,65,14344,0.995,1,1
4,3,56,65,20725,0.005,1,1
2,3,11,25,10978,1.0,1,1
2,3,26,30,11084,1.0,1,1
2,3,31,35,11138,1.0,1,1
2,3,36,40,11139,1.0,1,1
2,3,41,45,11177,1.0,1,1
2,3,46,50,11178,1.0,1,1
2,3,51,55,14343,1.0,1,1
2,3,56,65,14344,0.995,1,1
2,3,56,65,20725,0.005,1,1
4,4,40,45,11177,1.0,2,4
4,4,46,50,11178,1.0,2,4
4,4,51,55,14343,1.0,2,4
4,4,56,60,20725,1.0,1,1
4,4,61,80,20725,1.0,1,2
2,4,40,45,11177,1.0,2,4
2,4,46,50,11178,1.0,2,4
2,4,51,55,14343,1.0,2,4
2,4,56,60,20725,1.0,1,1
2,4,61,80,20725,0.3333,1,1
2,4,61,80,20725,0.6667,2,2
