item_id,name
85,Dirty Leather Vest
117,Tough Jerky
159,Refreshing Spring Water
193,Tattered Cloth Vest
194,Tattered Cloth Pants
195,Tattered Cloth Boots
200,Thick Cloth Vest
201,Thick Cloth Pants
202,Thick Cloth Shoes
203,Thick Cloth Gloves
209,Dirty Leather Pants
210,Dirty Leather Boots
236,Cured Leather Armor
237,Cured Leather Pants
238,Cured Leather Boots
239,Cured Leather Gloves
285,Scalemail Vest
286,Scalemail Pants
287,Scalemail Boots
414,Dalaran Sharp
422,Dwarven Mild
711,Tattered Cloth Gloves
714,Dirty Leather Gloves
718,Scalemail Gloves
728,Recipe: Westfall Stew
787,Slitherskin Mackerel
792,Knitted Sandals
793,Knitted Gloves
794,Knitted Pants
795,Knitted Tunic
796,Rough Leather Boots
797,Rough Leather Gloves
798,Rough Leather Pants
799,Rough Leather Vest
837,Heavy Weave Armor
838,Heavy Weave Pants
839,Heavy Weave Gloves
840,Heavy Weave Shoes
843,Tanned Leather Boots
844,Tanned Leather Gloves
845,Tanned Leather Pants
846,Tanned Leather Jerkin
847,Chainmail Armor
848,Chainmail Pants
849,Chainmail Boots
850,Chainmail Gloves
851,Cutlass
852,Mace
853,Hatchet
854,Quarter Staff
922,Dacian Falx
923,Longsword
924,Maul
925,Flail
926,Battle Axe
927,Double Axe
928,Long Staff
1132,Horn of the Timber Wolf
1179,Ice Cold Milk
1194,Bastard Sword
1196,Tabar
1197,Giant Mace
1198,Claymore
1200,Large Wooden Shield
1201,Dull Heater Shield
1202,Wall Shield
1205,Melon Juice
1645,Moonberry Juice
1707,Stormwind Brie
1708,Sweet Nectar
1835,Dirty Leather Belt
1836,Dirty Leather Bracers
1839,Rough Leather Belt
1840,Rough Leather Bracers
1843,Tanned Leather Belt
1844,Tanned Leather Bracers
1845,Chainmail Belt
1846,Chainmail Bracers
1849,Cured Leather Belt
1850,Cured Leather Bracers
1852,Scalemail Bracers
1853,Scalemail Belt
1939,Skin of Sweet Rum
1941,Cask of Merlot
1942,Bottle of Moonshine
2024,Espadon
2025,Bearded Axe
2026,Rock Hammer
2027,Scimitar
2028,Hammer
2029,Cleaver
2030,Gnarled Staff
2070,Darnassian Bleu
2101,Light Quiver
2117,Thin Cloth Shoes
2119,Thin Cloth Gloves
2120,Thin Cloth Pants
2121,Thin Cloth Armor
2122,Cracked Leather Belt
2123,Cracked Leather Boots
2124,Cracked Leather Bracers
2125,Cracked Leather Gloves
2126,Cracked Leather Pants
2127,Cracked Leather Vest
2129,Large Round Shield
2130,Club
2131,Shortsword
2132,Short Staff
2134,Hand Axe
2139,Dirk
2141,Cuirboulli Vest
2142,Cuirboulli Belt
2143,Cuirboulli Boots
