item_class,quality,min_ilvl,max_ilvl,result_item_id,chance,min_count,max_count
4,2,5,15,10940,0.4,1,1
4,2,5,15,10940,0.4,2,2
4,2,5,15,10938,0.1,1,1
4,2,5,15,10938,0.1,2,2
4,2,16,20,10940,0.375,2,2
4,2,16,20,10940,0.375,3,3
4,2,16,20,10939,0.1,1,1
4,2,16,20,10939,0.1,2,2
4,2,16,20,10978,0.05,1,1
4,2,21,25,10940,0.25,4,4
4,2,21,25,10940,0.25,5,5
4,2,21,25,10940,0.25,6,6
4,2,21,25,10998,0.075,1,1
4,2,21,25,10998,0.075,2,2
4,2,21,25,10978,0.1,1,1
4,2,26,30,11083,0.375,1,1
4,2,26,30,11083,0.375,2,2
4,2,26,30,11082,0.1,1,1
4,2,26,30,11082,0.1,2,2
4,2,26,30,11084,0.05,1,1
4,2,31,35,11083,0.1875,2,2
4,2,31,35,11083,0.1875,3,3
4,2,31,35,11083,0.1875,4,4
4,2,31,35,11083,0.1875,5,5
4,2,31,35,11134,0.1,1,1
4,2,31,35,11134,0.1,2,2
4,2,31,35,11138,0.05,1,1
4,2,36,40,11137,0.375,1,1
4,2,36,40,11137,0.375,2,2
4,2,36,40,11135,0.1,1,1
4,2,36,40,11135,0.1,2,2
4,2,36,40,11139,0.05,1,1
4,2,41,45,11137,0.1875,2,2
4,2,41,45,11137,0.1875,3,3
4,2,41,45,11137,0.1875,4,4
4,2,41,45,11137,0.1875,5,5
4,2,41,45,11174,0.1,1,1
4,2,41,45,11174,0.1,2,2
4,2,41,45,11177,0.05,1,1
4,2,46,50,11176,0.375,1,1
4,2,46,50,11176,0.375,2,2
4,2,46,50,11175,0.1,1,1
4,2,46,50,11175,0.1,2,2
4,2,46,50,11178,0.05,1,1
4,2,51,55,11176,0.1875,2,2
4,2,51,55,11176,0.1875,3,3
4,2,51,55,11176,0.1875,4,4
4,2,51,55,11176,0.1875,5,5
4,2,51,55,16202,0.1,1,1
4,2,51,55,16202,0.1,2,2
4,2,51,55,14343,0.05,1,1
4,2,56,60,16204,0.375,1,1
4,2,56,60,16204,0.375,2,2
4,2,56,60,16203,0.1,1,1
4,2,56,60,16203,0.1,2,2
4,2,56,60,14344,0.05,1,1
4,2,61,65,16204,0.1875,2,2
4,2,61,65,16204,0.1875,3,3
4,2,61,65,16204,0.1875,4,4
4,2,61,65,16204,0.1875,5,5
4,2,61,65,16203,0.1,2,2
4,2,61,65,16203,0.1,3,3
4,2,61,65,14344,0.05,1,1
4,2,66,80,22445,0.25,1,1
4,2,66,80,22445,0.25,2,2
4,2,66,80,22445,0.25,3,3
4,2,66,80,22447,0.073333,1,1
4,2,66,80,22447,0.073333,2,2
4,2,66,80,22447,0.073333,3,3
4,2,66,80,22448,0.03,1,1
4,2,81,99,22445,0.375,2,2
4,2,81,99,22445,0.375,3,3
4,2,81,99,22447,0.11,2,2
4,2,81,99,22447,0.11,3,3
4,2,81,99,22448,0.03,1,1
4,2,100,120,22445,0.1875,2,2
4,2,100,120,22445,0.1875,3,3
4,2,100,120,22445,0.1875,4,4
4,2,100,120,22445,0.1875,5,5
4,2,100,120,22446,0.11,1,1
4,2,100,120,22446,0.11,2,2
4,2,100,120,22449,0.03,1,1
4,2,121,151,34054,0.25,1,1
4,2,121,151,34054,0.25,2,2
4,2,121,151,34054,0.25,3,3
4,2,121,151,34056,0.11,1,1
4,2,121,151,34056,0.11,2,2
4,2,121,151,34053,0.03,1,1
4,2,152,200,34054,0.1875,4,4
4,2,152,200,34054,0.1875,5,5
4,2,152,200,34054,0.1875,6,6
4,2,152,200,34054,0.1875,7,7
4,2,152,200,34055,0.11,1,1
4,2,152,200,34055,0.11,2,2
4,2,152,200,34052,0.03,1,1
4,3,11,25,10978,1,1,1
4,3,26,30,11084,1,1,1
4,3,31,35,11138,1,1,1
4,3,36,40,11139,1,1,1
4,3,41,45,11177,1,1,1
4,3,46,50,11178,1,1,1
4,3,51,55,14343,1,1,1
4,3,56,65,14344,0.995,1,1
4,3,56,65,20725,0.005,1,1
4,3,66,99,22448,0.995,1,1
4,3,66,99,20725,0.005,1,1
4,3,100,120,22449,0.995,1,1
4,3,100,120,22450,0.005,1,1
4,3,121,164,34053,0.995,1,1
4,3,121,164,34057,0.005,1,1
4,4,40,45,11177,0.333333,2,2
4,4,40,45,11177,0.333333,3,3
4,4,40,45,11177,0.333333,4,4
4,4,46,50,11178,0.333333,2,2
4,4,46,50,11178,0.333333,3,3
4,4,46,50,11178,0.333333,4,4
4,4,51,55,14343,0.333333,2,2
4,4,51,55,14343,0.333333,3,3
4,4,51,55,14343,0.333333,4,4
4,4,56,60,20725,1,1,1
4,4,61,80,20725,0.5,1,1
4,4,61,80,20725,0.5,2,2
4,4,95,100,22450,0.5,1,1
4,4,95,100,22450,0.5,2,2
4,4,105,164,22450,0.333,1,1
4,4,105,164,22450,0.666,2,2
2,2,6,15,10940,0.1,1,1
2,2,6,15,10940,0.1,2,2
2,2,6,15,10938,0.4,1,1
2,2,6,15,10938,0.4,2,2
2,2,16,20,10940,0.1,2,2
2,2,16,20,10940,0.1,3,3
2,2,16,20,10939,0.375,1,1
2,2,16,20,10939,0.375,2,2
2,2,16,20,10978,0.05,1,1
2,2,21,25,10940,0.05,4,4
2,2,21,25,10940,0.05,5,5
2,2,21,25,10940,0.05,6,6
2,2,21,25,10939,0.375,1,1
2,2,21,25,10939,0.375,2,2
2,2,21,25,10978,0.1,1,1
2,2,26,30,11083,0.1,1,1
2,2,26,30,11083,0.1,2,2
2,2,26,30,10939,0.375,1,1
2,2,26,30,10939,0.375,2,2
2,2,26,30,11084,0.05,1,1
2,2,31,35,11083,0.05,2,2
2,2,31,35,11083,0.05,3,3
2,2,31,35,11083,0.05,4,4
2,2,31,35,11083,0.05,5,5
2,2,31,35,11134,0.375,1,1
2,2,31,35,11134,0.375,2,2
2,2,31,35,11138,0.05,1,1
2,2,36,40,11137,0.1,1,1
2,2,36,40,11137,0.1,2,2
2,2,36,40,11135,0.375,1,1
2,2,36,40,11135,0.375,2,2
2,2,36,40,11139,0.05,1,1
2,2,41,45,11137,0.05,2,2
2,2,41,45,11137,0.05,3,3
2,2,41,45,11137,0.05,4,4
2,2,41,45,11137,0.05,5,5
2,2,41,45,11174,0.375,1,1
2,2,41,45,11174,0.375,2,2
2,2,41,45,11177,0.05,1,1
2,2,46,50,11176,0.1,1,1
2,2,46,50,11176,0.1,2,2
2,2,46,50,11175,0.375,1,1
2,2,46,50,11175,0.375,2,2
2,2,46,50,11178,0.05,1,1
2,2,51,55,11176,0.055,2,2
2,2,51,55,11176,0.055,3,3
2,2,51,55,11176,0.055,4,4
2,2,51,55,11176,0.055,5,5
2,2,51,55,16202,0.375,1,1
2,2,51,55,16202,0.375,2,2
2,2,51,55,14343,0.05,1,1
2,2,56,60,16204,0.11,1,1
2,2,56,60,16204,0.11,2,2
2,2,56,60,16203,0.375,1,1
2,2,56,60,16203,0.375,2,2
2,2,56,60,14344,0.05,1,1
2,2,61,65,16204,0.055,2,2
2,2,61,65,16204,0.055,3,3
2,2,61,65,16204,0.055,4,4
2,2,61,65,16204,0.055,5,5
2,2,61,65,16203,0.375,2,2
2,2,61,65,16203,0.375,3,3
2,2,61,65,14344,0.05,1,1
2,2,66,99,22445,0.11,2,2
2,2,66,99,22445,0.11,3,3
2,2,66,99,22447,0.375,2,2
2,2,66,99,22447,0.375,3,3
2,2,66,99,22448,0.03,1,1
2,2,100,120,22445,0.055,2,2
2,2,100,120,22445,0.055,3,3
2,2,100,120,22445,0.055,4,4
2,2,100,120,22445,0.055,5,5
2,2,100,120,22446,0.375,1,1
2,2,100,120,22446,0.375,2,2
2,2,100,120,22449,0.03,1,1
2,2,121,151,34054,0.073333,1,1
2,2,121,151,34054,0.073333,2,2
2,2,121,151,34054,0.073333,3,3
2,2,121,151,34056,0.375,1,1
2,2,121,151,34056,0.375,2,2
2,2,121,151,34053,0.03,1,1
2,2,152,200,34054,0.055,4,4
2,2,152,200,34054,0.055,5,5
2,2,152,200,34054,0.055,6,6
2,2,152,200,34054,0.055,7,7
2,2,152,200,34055,0.375,1,1
2,2,152,200,34055,0.375,2,2
2,2,152,200,34052,0.03,1,1
2,3,11,25,10978,1,1,1
2,3,26,30,11084,1,1,1
2,3,31,35,11138,1,1,1
2,3,36,40,11139,1,1,1
2,3,41,45,11177,1,1,1
2,3,46,50,11178,1,1,1
2,3,51,55,14343,1,1,1
2,3,56,65,14344,0.995,1,1
2,3,56,65,20725,0.005,1,1
2,3,66,99,22448,0.995,1,1
2,3,66,99,20725,0.005,1,1
2,3,100,120,22449,0.995,1,1
2,3,100,120,22450,0.005,1,1
2,3,121,164,34053,0.995,1,1
2,3,121,164,34057,0.005,1,1
2,4,40,45,11177,0.333333,2,2
2,4,40,45,11177,0.333333,3,3
2,4,40,45,11177,0.333333,4,4
2,4,46,50,11178,0.333333,2,2
2,4,46,50,11178,0.333333,3,3
2,4,46,50,11178,0.333333,4,4
2,4,51,55,14343,0.333333,2,2
2,4,51,55,14343,0.333333,3,3
2,4,51,55,14343,0.333333,4,4
2,4,56,60,20725,1,1,1
2,4,61,80,20725,0.333,1,1
2,4,61,80,20725,0.666,2,2
2,4,95,100,22450,0.5,1,1
2,4,95,100,22450,0.5,2,2
2,4,105,164,22450,0.333,1,1
2,4,105,164,22450,0.666,2,2
