item_id,name
38,Recruit's Shirt
39,Recruit's Pants
40,Recruit's Boots
43,Squire's Boots
44,Squire's Pants
45,Squire's Shirt
51,Neophyte's Boots
52,Neophyte's Pants
53,Neophyte's Shirt
55,Apprentice's Boots
56,Apprentice's Robe
57,Acolyte's Robe
59,Acolyte's Shoes
85,Dirty Leather Vest
117,Tough Jerky
159,Refreshing Spring Water
193,Tattered Cloth Vest
194,Tattered Cloth Pants
195,Tattered Cloth Boots
200,Thick Cloth Vest
201,Thick Cloth Pants
202,Thick Cloth Shoes
203,Thick Cloth Gloves
209,Dirty Leather Pants
210,Dirty Leather Boots
236,Cured Leather Armor
237,Cured Leather Pants
238,Cured Leather Boots
239,Cured Leather Gloves
285,Scalemail Vest
286,Scalemail Pants
287,Scalemail Boots
414,Dalaran Sharp
422,Dwarven Mild
711,Tattered Cloth Gloves
714,Dirty Leather Gloves
718,Scalemail Gloves
728,Recipe: Westfall Stew
787,Slitherskin Mackerel
792,Knitted Sandals
793,Knitted Gloves
794,Knitted Pants
795,Knitted Tunic
796,Rough Leather Boots
797,Rough Leather Gloves
798,Rough Leather Pants
799,Rough Leather Vest
837,Heavy Weave Armor
838,Heavy Weave Pants
839,Heavy Weave Gloves
840,Heavy Weave Shoes
843,Tanned Leather Boots
844,Tanned Leather Gloves
845,Tanned Leather Pants
846,Tanned Leather Jerkin
847,Chainmail Armor
848,Chainmail Pants
849,Chainmail Boots
850,Chainmail Gloves
851,Cutlass
852,Mace
853,Hatchet
854,Quarter Staff
922,Dacian Falx
923,Longsword
924,Maul
925,Flail
926,Battle Axe
927,Double Axe
928,Long Staff
1179,Ice Cold Milk
1194,Bastard Sword
1196,Tabar
1197,Giant Mace
1198,Claymore
1200,Large Wooden Shield
1201,Dull Heater Shield
1202,Wall Shield
1205,Melon Juice
1395,Apprentice's Pants
1396,Acolyte's Pants
1645,Moonberry Juice
1707,Stormwind Brie
1708,Sweet Nectar
1835,Dirty Leather Belt
1836,Dirty Leather Bracers
1839,Rough Leather Belt
1840,Rough Leather Bracers
1843,Tanned Leather Belt
1844,Tanned Leather Bracers
1845,Chainmail Belt
1846,Chainmail Bracers
1849,Cured Leather Belt
1850,Cured Leather Bracers
1852,Scalemail Bracers
1853,Scalemail Belt
1939,Skin of Sweet Rum
1941,Cask of Merlot
1942,Bottle of Moonshine
2024,Espadon
2025,Bearded Axe
2026,Rock Hammer
2027,Scimitar
2028,Hammer
2029,Cleaver
2030,Gnarled Staff
2070,Darnassian Bleu
2091,Magic Dust
2101,Light Quiver
2102,Small Ammo Pouch
2117,Thin Cloth Shoes
2119,Thin Cloth Gloves
2120,Thin Cloth Pants
2121,Thin Cloth Armor
2122,Cracked Leather Belt
2123,Cracked Leather Boots
2124,Cracked Leather Bracers
2125,Cracked Leather Gloves
2126,Cracked Leather Pants
2127,Cracked Leather Vest
2129,Large Round Shield
2130,Club
2131,Shortsword
2132,Short Staff
2134,Hand Axe
2139,Dirk
2141,Cuirboulli Vest
2142,Cuirboulli Belt
2143,Cuirboulli Boots
2144,Cuirboulli Bracers
2145,Cuirboulli Gloves
2146,Cuirboulli Pants
2148,Polished Scale Belt
2149,Polished Scale Boots
2150,Polished Scale Bracers
2151,Polished Scale Gloves
2152,Polished Scale Leggings
2153,Polished Scale Vest
2156,Padded Boots
2158,Padded Gloves
2159,Padded Pants
2160,Padded Armor
2207,Jambiya
2208,Poniard
2209,Kris
2287,Haunch of Meat
2320,Coarse Thread
2321,Fine Thread
2324,Bleach
2325,Black Dye
2364,Woven Vest
2366,Woven Pants
2367,Woven Boots
2369,Woven Gloves
2370,Battered Leather Harness
2371,Battered Leather Belt
2372,Battered Leather Pants
2373,Battered Leather Boots
2374,Battered Leather Bracers
2375,Battered Leather Gloves
2376,Worn Heater Shield
2379,Tarnished Chain Vest
2380,Tarnished Chain Belt
2381,Tarnished Chain Leggings
2383,Tarnished Chain Boots
2384,Tarnished Chain Bracers
2385,Tarnished Chain Gloves
2386,Rusted Chain Vest
2387,Rusted Chain Belt
2388,Rusted Chain Leggings
2389,Rusted Chain Boots
2390,Rusted Chain Bracers
2391,Rusted Chain Gloves
2392,Light Mail Armor
2393,Light Mail Belt
2394,Light Mail Leggings
2395,Light Mail Boots
2396,Light Mail Bracers
2397,Light Mail Gloves
2398,Light Chain Armor
2399,Light Chain Belt
2400,Light Chain Leggings
2401,Light Chain Boots
2402,Light Chain Bracers
2403,Light Chain Gloves
2417,Augmented Chain Vest
2418,Augmented Chain Leggings
2419,Augmented Chain Belt
2420,Augmented Chain Boots
2421,Augmented Chain Bracers
2422,Augmented Chain Gloves
2423,Brigandine Vest
2424,Brigandine Belt
2425,Brigandine Leggings
2426,Brigandine Boots
2427,Brigandine Bracers
2428,Brigandine Gloves
2429,Russet Vest
2431,Russet Pants
2432,Russet Boots
2434,Russet Gloves
2435,Embroidered Armor
2437,Embroidered Pants
2438,Embroidered Boots
2440,Embroidered Gloves
2445,Large Metal Shield
2446,Kite Shield
2448,Heavy Pavise
2451,Crested Heater Shield
2463,Studded Doublet
2464,Studded Belt
2465,Studded Pants
2467,Studded Boots
2468,Studded Bracers
2469,Studded Gloves
2470,Reinforced Leather Vest
2471,Reinforced Leather Belt
2472,Reinforced Leather Pants
2473,Reinforced Leather Boots
2474,Reinforced Leather Bracers
2475,Reinforced Leather Gloves
2479,Broad Axe
2480,Large Club
2488,Gladius
2489,Two-handed Sword
2490,Tomahawk
2491,Large Axe
2492,Cudgel
2493,Wooden Mallet
2494,Stiletto
2495,Walking Stick
2504,Worn Shortbow
2505,Polished Shortbow
2506,Hornwood Recurve Bow
2507,Laminated Recurve Bow
2508,Old Blunderbuss
2509,Ornate Blunderbuss
2510,Solid Blunderbuss
2511,Hunter's Boomstick
2512,Rough Arrow
2515,Sharp Arrow
2516,Light Shot
2519,Heavy Shot
2520,Broadsword
2521,Flamberge
2522,Crescent Axe
2523,Bullova
2524,Truncheon
2525,War Hammer
2526,Main Gauche
2527,Battle Staff
2528,Falchion
2529,Zweihander
2530,Francisca
2531,Great Axe
2532,Morning Star
2533,War Maul
2534,Rondel
2535,War Staff
2593,Flask of Port
2594,Flagon of Mead
2595,Jug of Bourbon
2596,Skin of Dwarven Stout
2604,Red Dye
2605,Green Dye
2612,Plain Robe
2613,Double-stitched Robes
2614,Robe of Apprenticeship
2615,Chromatic Robe
2616,Shimmering Silk Robes
2617,Burning Robes
2618,Silver Dress Robes
2665,Stormwind Seasoning Herbs
2678,Mild Spices
2686,Thunder Ale
2692,Hot Spices
2697,Recipe: Goretusk Liver Pie
2698,Recipe: Cooked Crab Claw
2699,Recipe: Redridge Goulash
2700,Recipe: Succulent Pork Ribs
2701,Recipe: Seasoned Wolf Kabob
2723,Bottle of Pinot Noir
2880,Weak Flux
2889,Recipe: Beer Basted Boar Ribs
2894,Rhapsody Malt
2901,Mining Pick
2928,Dust of Decay
2930,Essence of Pain
2931,Maiden's Anguish
2946,Broken Balanced Throwing Dagger
3023,Large Bore Blunderbuss
3024,"BKP 2700 ""Enforcer"""
3025,"BKP 42 ""Ultra"""
3026,Reinforced Bow
3027,Heavy Recurve Bow
3030,Razor Arrow
3033,Solid Shot
3107,Broken Keen Throwing Knife
3131,Broken Weighted Throwing Axe
3135,Broken Sharp Throwing Axe
3277,Executor Staff
3371,Empty Vial
3372,Leaded Vial
3419,Red Rose
3420,Black Rose
3421,Simple Wildflowers
3422,Beautiful Wildflowers
3423,Bouquet of White Roses
3424,Bouquet of Black Roses
3426,Bold Yellow Shirt
3427,Stylish Black Shirt
3428,Common Gray Shirt
3466,Strong Flux
3587,Embroidered Belt
3588,Embroidered Bracers
3589,Heavy Weave Belt
3590,Heavy Weave Bracers
3591,Padded Belt
3592,Padded Bracers
3593,Russet Belt
3594,Russet Bracers
3595,Tattered Cloth Belt
3596,Tattered Cloth Bracers
3597,Thick Cloth Belt
3598,Thick Cloth Bracers
3599,Thin Cloth Belt
3600,Thin Cloth Bracers
3602,Knitted Belt
3603,Knitted Bracers
3606,Woven Belt
3607,Woven Bracers
3678,Recipe: Crocolisk Steak
3679,Recipe: Blood Sausage
3680,Recipe: Murloc Fin Soup
3681,Recipe: Crocolisk Gumbo
3682,Recipe: Curiously Tasty Omelet
3683,Recipe: Gooey Spider Cake
3703,Southshore Stout
3713,Soothing Spices
3734,Recipe: Big Bear Steak
3735,Recipe: Hot Lion Chops
3770,Mutton Chop
3771,Wild Hog Shank
3777,Lethargy Root
3857,Coal
3889,Russet Hat
3890,Studded Hat
3891,Augmented Chain Helm
3892,Embroidered Hat
3893,Reinforced Leather Cap
3894,Brigandine Helm
3927,Fine Aged Cheddar
4289,Salt
